id,name,address,distance,phone,phone_e164,email,is_mobile,status
c0,The Anvil,"Dorning Street, Wigan, WN1 1HE",0.1 mi,+44 1942 239444,+44 1942 239444,,False,new
c1,Tap 'n Barrel,"16, Jaxons Court, Wigan, WN1 1LR",0.1 mi,+44 1942 386966,+44 1942 386966,,False,new
c2,Vlora Fish Bar,"1A, Ellis Street, Wigan, WN1 3PL",0.7 mi,+441942 244655,+441942 244655,,False,new
c3,Rock Ferry Inn,"145, Warrington Road, Wigan, WN3 4JS",0.7 mi,+441942 734703,+441942 734703,,False,new
c4,Dunkin',"4, Loire Drive, Wigan, WN5 0UH",0.9 mi,+44 1942 214327,+44 1942 214327,,False,new
c5,Subway,"6, Loire Drive, Wigan, WN5 0UH",0.9 mi,+44 1942 212939,+44 1942 212939,,False,new
c6,Poets Corner,"81, Mesnes Road, Wigan, WN1 2QT",0.9 mi,+44 1942 538356,+44 1942 538356,,False,new
c7,Gidlow Plaice,"427, Gidlow Lane, Wigan, WN6 7PN",1.1 mi,+44 1942 323089,+44 1942 323089,,False,new
c8,The Bold Hotel,"161, Poolstock Lane, Wigan, WN3 5HL",1.2 mi,+44 1942 241095,+44 1942 241095,,False,new
c9,Kitt Green Tavern,"230, City Road, Wigan, WN5 0BG",2.1 mi,+44 1942 225680,+44 1942 225680,,False,new
c10,Tim's La Mama,"High Street, Wigan, WN6 0HA",3.1 mi,+44 1257 432 444,+44 1257 432 444,,False,new
c11,Copper Vines,"6-8, Market Street, Wigan, WN6 0HN",3.2 mi,+44 1257 421199,+44 1257 421199,,False,new
c12,The Blue Bell,"66, Rectory Road, Wigan, WN4 0QF",3.5 mi,+447936020331,+447936020331,,True,new
c13,Hong Kong Kitchen,"192, Bolton Road, Wigan, WN4 8RP",3.7 mi,+441942 718656,+441942 718656,,False,new
c14,Bens At The Legion,"308, Manchester Road, Bolton, BL6 5BB",3.8 mi,+44 1204 859367,+44 1204 859367,,False,new
c15,Mamma Mia,"Bolton Road, Wigan, WN4 8AD",3.8 mi,+441942 722220,+441942 722220,,False,new
c16,The Victoria Hotel,"2, Ormskirk Road, Skelmersdale, WN8 0AG",3.9 mi,+44 1695 625840,+44 1695 625840,,False,new
c17,Randall's Corner Cafe,"272C, Miles Lane, Wigan, WN6 9JA",4.0 mi,+44 7447 144235,+447447144235,,True,new
c18,Barcelona Tapas Bar,"37, Gerard Street, Ashton-in-Makerfield, WN4 9AG",4.1 mi,+441942439542,+441942439542,,False,new
c19,Thyme For Tea,"96, Church Street, Bolton, BL5 3RZ",4.5 mi,+44 7803 693879,+447803693879,,True,new
